time_mt5,open,high,low,close,direction
2026.08.17 22:00:00,1.15729,1.15805,1.15722,1.15788,
2026.08.17 23:00:00,1.15787,1.15804,1.15771,1.15795,
2026.08.18 00:00:00,1.15830,1.15830,1.15769,1.15772,BULL
2026.08.18 01:00:00,1.15773,1.15801,1.15771,1.15787,
2026.08.18 02:00:00,1.15788,1.15837,1.15781,1.15826,
2026.08.18 03:00:00,1.15827,1.15850,1.15776,1.15823,
2026.08.18 04:00:00,1.15824,1.15857,1.15787,1.15796,
2026.08.18 05:00:00,1.15796,1.15804,1.15750,1.15802,
2026.08.18 06:00:00,1.15802,1.15803,1.15715,1.15732,BEAR
2026.08.18 07:00:00,1.15733,1.15747,1.15698,1.15713,
2026.08.18 08:00:00,1.15712,1.15743,1.15693,1.15730,
2026.08.18 09:00:00,1.15730,1.15747,1.15665,1.15720,
2026.08.18 10:00:00,1.15720,1.15776,1.15694,1.15739,BULL
2026.08.18 11:00:00,1.15740,1.15776,1.15690,1.15761,
2026.08.18 12:00:00,1.15762,1.15798,1.15726,1.15792,
2026.08.18 13:00:00,1.15792,1.15793,1.15739,1.15760,
2026.08.18 14:00:00,1.15762,1.15769,1.15725,1.15766,
2026.08.18 15:00:00,1.15767,1.15794,1.15715,1.15741,BEAR
2026.08.18 16:00:00,1.15740,1.15849,1.15703,1.15806,
2026.08.18 17:00:00,1.15806,1.15884,1.15804,1.15810,BULL
2026.08.18 18:00:00,1.15810,1.15863,1.15763,1.15791,
2026.08.18 19:00:00,1.15792,1.15855,1.15785,1.15795,
2026.08.18 20:00:00,1.15796,1.15803,1.15742,1.15766,BEAR
2026.08.18 21:00:00,1.15765,1.15788,1.15741,1.15756,
2026.08.18 22:00:00,1.15756,1.15808,1.15738,1.15747,
2026.08.18 23:00:00,1.15747,1.15763,1.15716,1.15752,
2026.08.19 00:00:00,1.15749,1.15780,1.15720,1.15736,
2026.08.19 01:00:00,1.15730,1.15769,1.15729,1.15763,
2026.08.19 02:00:00,1.15762,1.15784,1.15733,1.15762,BULL
2026.08.19 03:00:00,1.15763,1.15817,1.15733,1.15741,
2026.08.19 04:00:00,1.15739,1.15777,1.15701,1.15772,
2026.08.19 05:00:00,1.15772,1.15872,1.15765,1.15823,
2026.08.19 06:00:00,1.15824,1.15849,1.15809,1.15813,
2026.08.19 07:00:00,1.15813,1.15866,1.15806,1.15858,
2026.08.19 08:00:00,1.15857,1.15895,1.15845,1.15885,
2026.08.19 09:00:00,1.15884,1.15986,1.15878,1.15946,
2026.08.19 10:00:00,1.15947,1.15977,1.15915,1.15964,
2026.08.19 11:00:00,1.15965,1.16052,1.15954,1.15981,
2026.08.19 12:00:00,1.15981,1.16082,1.15964,1.16065,
2026.08.19 13:00:00,1.16064,1.16119,1.16051,1.16066,
2026.08.19 14:00:00,1.16064,1.16086,1.15994,1.16029,
2026.08.19 15:00:00,1.16029,1.16435,1.16024,1.16357,
2026.08.19 16:00:00,1.16356,1.16595,1.16355,1.16564,
2026.08.19 17:00:00,1.16564,1.16771,1.16538,1.16634,
2026.08.19 18:00:00,1.16634,1.16681,1.16568,1.16637,
2026.08.19 19:00:00,1.16638,1.16721,1.16634,1.16685,
2026.08.19 20:00:00,1.16684,1.16721,1.16584,1.16591,
2026.08.19 21:00:00,1.16591,1.16751,1.16587,1.16736,
2026.08.19 22:00:00,1.16735,1.16791,1.16699,1.16772,
2026.08.19 23:00:00,1.16773,1.16790,1.16750,1.16769,
2026.08.20 00:00:00,1.16762,1.16790,1.16730,1.16751,
2026.08.20 01:00:00,1.16754,1.16804,1.16748,1.16751,
2026.08.20 02:00:00,1.16752,1.16775,1.16727,1.16743,BEAR
2026.08.20 03:00:00,1.16744,1.16799,1.16721,1.16744,
2026.08.20 04:00:00,1.16743,1.16825,1.16699,1.16764,
2026.08.20 05:00:00,1.16764,1.16838,1.16727,1.16750,BULL
2026.08.20 06:00:00,1.16751,1.16801,1.16741,1.16795,
2026.08.20 07:00:00,1.16794,1.16803,1.16715,1.16728,
2026.08.20 08:00:00,1.16730,1.16774,1.16701,1.16761,
2026.08.20 09:00:00,1.16762,1.16883,1.16733,1.16880,
2026.08.20 10:00:00,1.16877,1.16935,1.16782,1.16927,
2026.08.20 11:00:00,1.16926,1.16998,1.16887,1.16985,
2026.08.20 12:00:00,1.16986,1.17096,1.16955,1.17070,
2026.08.20 13:00:00,1.17070,1.17106,1.16942,1.16970,
