time_mt5,direction,open,high,low,close
2026.08.18 06:00:00,BEAR,1.15802,1.15803,1.15715,1.15732
2026.08.18 10:00:00,BULL,1.15720,1.15776,1.15694,1.15739
2026.08.18 15:00:00,BEAR,1.15767,1.15794,1.15715,1.15741
2026.08.18 17:00:00,BULL,1.15806,1.15884,1.15804,1.15810
2026.08.18 20:00:00,BEAR,1.15796,1.15803,1.15742,1.15766
2026.08.19 02:00:00,BULL,1.15762,1.15784,1.15733,1.15762
2026.08.20 02:00:00,BEAR,1.16752,1.16775,1.16727,1.16743
2026.08.20 05:00:00,BULL,1.16764,1.16838,1.16727,1.16750
2026.08.20 15:00:00,BEAR,1.16846,1.16902,1.16778,1.16886
2026.08.20 22:00:00,BULL,1.16760,1.16784,1.16732,1.16780
2026.08.21 15:00:00,BEAR,1.17008,1.17031,1.16851,1.16905
2026.08.21 20:00:00,BULL,1.16818,1.16829,1.16772,1.16803
2026.08.21 22:00:00,BEAR,1.16828,1.16831,1.16776,1.16788
2026.08.24 02:00:00,BULL,1.16757,1.16825,1.16745,1.16824
2026.08.24 06:00:00,BEAR,1.16819,1.16821,1.16779,1.16797
2026.08.24 14:00:00,BULL,1.16641,1.16735,1.16628,1.16669
2026.08.24 18:00:00,BEAR,1.16655,1.16724,1.16636,1.16646
2026.08.24 23:00:00,BULL,1.16613,1.16643,1.16604,1.16635
2026.08.25 05:00:00,BEAR,1.16631,1.16648,1.16588,1.16605
2026.08.25 11:00:00,BULL,1.16588,1.16678,1.16575,1.16674
2026.08.25 15:00:00,BEAR,1.16597,1.16664,1.16596,1.16663
2026.08.25 16:00:00,BULL,1.16663,1.16754,1.16642,1.16727
2026.08.26 00:00:00,BEAR,1.16749,1.16775,1.16701,1.16727
2026.08.26 03:00:00,BULL,1.16743,1.16758,1.16709,1.16726
2026.08.26 04:00:00,BEAR,1.16726,1.16741,1.16687,1.16702
2026.08.26 10:00:00,BULL,1.16669,1.16731,1.16669,1.16709
2026.08.26 13:00:00,BEAR,1.16661,1.16664,1.16610,1.16619
2026.08.26 20:00:00,BULL,1.16495,1.16544,1.16486,1.16527
2026.08.27 06:00:00,BEAR,1.16555,1.16564,1.16534,1.16543
2026.08.27 16:00:00,BULL,1.16411,1.16599,1.16400,1.16538
2026.08.27 22:00:00,BEAR,1.16489,1.16505,1.16472,1.16494
2026.08.28 00:00:00,BULL,1.16505,1.16547,1.16463,1.16465
2026.08.28 05:00:00,BEAR,1.16497,1.16508,1.16462,1.16507
2026.08.28 10:00:00,BULL,1.16482,1.16488,1.16417,1.16465
2026.08.28 12:00:00,BEAR,1.16443,1.16451,1.16397,1.16399
2026.08.28 15:00:00,BULL,1.16453,1.16504,1.16393,1.16490
2026.08.28 16:00:00,BEAR,1.16489,1.16500,1.16352,1.16366
2026.08.31 00:00:00,BULL,1.15769,1.15807,1.15762,1.15763
2026.08.31 01:00:00,BEAR,1.15770,1.15851,1.15765,1.15843
2026.08.31 03:00:00,BULL,1.15888,1.15937,1.15855,1.15921
2026.08.31 08:00:00,BEAR,1.15910,1.15913,1.15872,1.15904
2026.08.31 10:00:00,BULL,1.15889,1.16033,1.15847,1.16026
2026.08.31 14:00:00,BEAR,1.15971,1.16029,1.15957,1.15964
2026.08.31 17:00:00,BULL,1.15998,1.16182,1.15951,1.16141
2026.08.31 22:00:00,BEAR,1.16156,1.16184,1.16145,1.16163
2026.08.31 23:00:00,BULL,1.16164,1.16180,1.16142,1.16170
