time_utc,tv_signal,mt5_signal,status,tv_recomputed,tv_rule_check,tv_open,tv_high,tv_low,tv_close,mt5_open,mt5_high,mt5_low,mt5_close,close_abs_diff
2026-08-05T11:00:00+00:00,BULL,BULL,AGREE,BULL,AGREE,1.15397,1.15552,1.15397,1.15528,1.15399,1.15553,1.15399,1.15527,1.0000000000065512e-05
2026-08-05T12:00:00+00:00,,,AGREE,,AGREE,1.15527,1.15572,1.15448,1.15456,1.15528,1.15571,1.15448,1.15457,1.0000000000065512e-05
2026-08-05T13:00:00+00:00,,,AGREE,,AGREE,1.15456,1.1554,1.15402,1.15441,1.15456,1.1554,1.15401,1.15442,1.0000000000065512e-05
2026-08-05T14:00:00+00:00,,,AGREE,,AGREE,1.15438,1.1557,1.15422,1.15534,1.15443,1.15569,1.15405,1.15534,0.0
2026-08-05T15:00:00+00:00,BEAR,BEAR,AGREE,BEAR,AGREE,1.15535,1.15566,1.15428,1.1546,1.15535,1.15566,1.15429,1.1546,0.0
2026-08-05T16:00:00+00:00,BULL,BULL,AGREE,BULL,AGREE,1.1546,1.15493,1.15428,1.1546,1.15461,1.15493,1.15426,1.15458,2.0000000000131024e-05
2026-08-05T17:00:00+00:00,,,AGREE,,AGREE,1.1546,1.15573,1.15428,1.15564,1.15459,1.15573,1.15426,1.15563,1.0000000000065512e-05
2026-08-05T18:00:00+00:00,,,AGREE,,AGREE,1.15563,1.15594,1.15532,1.15536,1.15562,1.15595,1.15532,1.15536,0.0
2026-08-05T19:00:00+00:00,,,AGREE,,AGREE,1.15537,1.15549,1.15476,1.15509,1.15535,1.15548,1.15475,1.1551,1.0000000000065512e-05
2026-08-05T20:00:00+00:00,,,AGREE,,AGREE,1.15508,1.15541,1.15492,1.15534,1.15508,1.15542,1.1549,1.15531,2.999999999997449e-05
2026-08-05T21:00:00+00:00,BEAR,BEAR,AGREE,BEAR,AGREE,1.15548,1.15568,1.15526,1.15529,1.15532,1.15567,1.15485,1.15497,0.00031999999999987594
2026-08-05T22:00:00+00:00,BULL,BULL,AGREE,BULL,AGREE,1.15528,1.15552,1.15512,1.15548,1.15508,1.1555,1.15498,1.15546,2.0000000000131024e-05
2026-08-05T23:00:00+00:00,,,AGREE,,AGREE,1.15549,1.15578,1.15542,1.15571,1.15547,1.15578,1.1554,1.1557,1.0000000000065512e-05
2026-08-06T00:00:00+00:00,,,AGREE,,AGREE,1.15572,1.15597,1.15547,1.15564,1.1557,1.15595,1.15546,1.15564,0.0
